Category,Species,Variety,Size,Container,Price
Drzewa i krzewy iglaste,Abies concolor (jodła kalifornijska),Hexe,60-70,"7,5",160
Drzewa i krzewy iglaste,Abies koreana (Jodła koreańska),Silberlocke,60,"7,5",120
Drzewa i krzewy iglaste,Abies lasiocarpa (Jodła górska),Compacta,50-60,"7,5",160
Drzewa i krzewy iglaste,Abies pinsapo (Jodła hiszpańska),Glauca,60-70,"7,5",160
Drzewa i krzewy iglaste,Abies procera (Jodła szlachetna),Glauca,80-100,"7,5",160
Drzewa i krzewy iglaste,Chamaecyparis lawsoniana (Cyprysik Lawsona),Ivonne,60-80,3,20
Drzewa i krzewy iglaste,Chamaecyparis lawsoniana (Cyprysik Lawsona),Columnaris,60-80,3,20
Drzewa i krzewy iglaste,Chamaecyparis nootkatensis (C. nutkajski),Klippert,120-150,10,150
Drzewa i krzewy iglaste,Chamaecyparis obtusa (Cyprysik japoński),Gracilis,30-40,5,30
Drzewa i krzewy iglaste,Chamaecyparis pisifera (Cyprysik groszkowy),Sungold,Ø20-30,5,25
Drzewa i krzewy iglaste,Ginkgo biloba (Miłorząb dwuklapowy),,120-140,5,60
Drzewa i krzewy iglaste,Ginkgo biloba (Miłorząb dwuklapowy),Anny's Dwarf,Pa 20,5,100
Drzewa i krzewy iglaste,Ginkgo biloba (Miłorząb dwuklapowy),Troll,"Pa 60, Ø50",10,180
Drzewa i krzewy iglaste,Juniperus communis (Jałowiec pospolity),Green Carpet,Ø20-30,3,20
Drzewa i krzewy iglaste,Juniperus communis (Jałowiec pospolity),Arnold,60-80,3,20
Drzewa i krzewy iglaste,Juniperus conferta (Jałowiec nadbrzeżny),Blue,Pacific Ø30,3,25
Drzewa i krzewy iglaste,Juniperus horizontalis (Jałowiec poziomy),Blue Chip,Ø30,3,20
Drzewa i krzewy iglaste,Juniperus horizontalis (Jałowiec poziomy),Golden Carpet,Ø20-30,4,25
Drzewa i krzewy iglaste,Juniperus horizontalis (Jałowiec poziomy),Prince of Wales,Ø20-30,3,20
Drzewa i krzewy iglaste,Juniperus horizontalis (Jałowiec poziomy),Wiltonii,Ø30-40,5,30
Drzewa i krzewy iglaste,Juniperus x media (Jałowiec pośredni),Gold Star,Ø30,3,20
Drzewa i krzewy iglaste,Juniperus x media (Jałowiec pośredni),Mint Julep,Ø30-40,3,20
Drzewa i krzewy iglaste,Juniperus squamata (Jałowiec łuskowy),Blue Star,Ø20,2,25
Drzewa i krzewy iglaste,Larix decidua (Modrzew europejski),,150-170,3,20
Drzewa i krzewy iglaste,Larix decidua (Modrzew europejski),Pendula,Pa 120,5,120
Drzewa i krzewy iglaste,Picea abies (Świerk pospolity),Cupressina,100-120,15,90
Drzewa i krzewy iglaste,Picea abies (Świerk pospolity),Inversa,180-200,15,280
Drzewa i krzewy iglaste,Picea abies (Świerk pospolity),Nidiformis,Ø20-30,5,40
Drzewa i krzewy iglaste,Picea abies (Świerk pospolity),Will's Zwerg,50-60,5,80
Drzewa i krzewy iglaste,Picea glauca (Świerk biały),Conica December,50-60,3,20
Drzewa i krzewy iglaste,Picea glauca (Świerk biały),Daisy's White,50-60,5,50
Drzewa i krzewy iglaste,Picea omorica (Świerk serbski),,60-80,"2,5",15
Drzewa i krzewy iglaste,Picea omorica (Świerk serbski),Karel,Ø30,5,50
Drzewa i krzewy iglaste,Picea pungens (Świerk kłujący),Białobok,60-70,"7,5",150
Drzewa i krzewy iglaste,Picea pungens (Świerk kłujący),Glauca Globosa,Ø30,5,70
Drzewa i krzewy iglaste,Glauca Globosa -,szczepiony na pniu,Pa 80,10,220
Drzewa i krzewy iglaste,Glauca Globosa -,Iseli Fastigiate,60-80,10,150
Drzewa i krzewy iglaste,Pinus densiflora (Sosna gęstokwiatowa),Jane Kluis,Pa 20,5,130
Drzewa i krzewy iglaste,Pinus densiflora (Sosna gęstokwiatowa),Jane Kluis,"Pa 80, Ø30",10,220
Drzewa i krzewy iglaste,Pinus densiflora (Sosna gęstokwiatowa),Low Glow,Pa 40,10,180
Drzewa i krzewy iglaste,Pinus heldreichi (Sosna bośniacka),Malinki,60,"7,5",180
Drzewa i krzewy iglaste,Pinus heldreichi (Sosna bośniacka),Satelit,60-80,"7,5",180
Drzewa i krzewy iglaste,"Pinus mugo (Sosna górska, kosodrzewina)",var.,pumilio Ø20-25,2,20
Drzewa i krzewy iglaste,"Pinus mugo (Sosna górska, kosodrzewina)",Golden Glow,"Pa 20, Ø40",10,130
Drzewa i krzewy iglaste,"Pinus mugo (Sosna górska, kosodrzewina)",Mops,Ø30,5,130
